Image Name: 1	
Slide Name: 160421_1	
Capture Date: 04/21/2016	
Capture Time: 14:48:56	
Plane	Time	Elapsed (ms)	G PMT (1)	G PMT (2)	G PMT (3)	G PMT (4)	G PMT (5)	G PMT (6)	G PMT (7)	G PMT (8)	G PMT (9)	G PMT (10)	G PMT (11)	G PMT (12)	G PMT (13)	G PMT (14)	G PMT (15)	G PMT (16)	G PMT (17)	G PMT (18)	
47	14:48:56	12000	1076.034	1383.833	624.643	636.700	900.778	706.929	728.457	739.458	528.792	870.100	1246.056	336.722	803.778	911.611	771.077	370.056	1177.286	469.500	
48	14:48:56	12138	1120.034	1446.708	673.000	571.833	972.833	756.571	726.543	742.458	527.167	823.800	1206.056	351.389	755.667	920.167	750.769	384.444	1252.286	470.909	
49	14:48:56	12276	1090.914	1379.792	604.500	598.533	894.556	760.643	716.152	752.083	527.000	845.700	1191.389	349.389	785.833	886.333	733.231	361.222	1266.714	447.636	
50	14:48:56	12415	1073.552	1437.458	630.929	620.300	901.444	764.143	745.500	758.750	526.583	891.300	1216.056	353.611	782.667	902.000	703.154	420.000	1145.571	488.727	
51	14:48:56	12553	1071.241	1326.125	639.000	609.600	875.111	743.571	698.783	746.458	523.792	767.900	1196.389	332.056	828.889	900.056	755.846	364.111	1194.929	485.591	
52	14:48:56	12691	1068.862	1361.708	666.429	633.467	954.444	733.286	731.739	785.083	523.458	853.700	1195.667	333.111	768.111	920.889	771.538	381.222	1216.857	502.364	
53	14:48:56	12829	1139.638	1360.667	594.429	607.833	925.556	719.000	747.783	750.417	506.417	806.800	1238.944	326.278	775.556	974.056	746.962	410.278	1128.571	486.182	
54	14:48:56	12968	1134.000	1331.500	653.071	613.233	933.278	771.357	757.130	747.875	535.500	798.800	1231.833	312.611	758.167	947.389	732.538	408.278	1211.214	482.545	
55	14:48:56	13106	1131.603	1371.375	604.571	651.500	853.278	762.071	724.913	770.042	526.333	891.700	1185.889	314.111	804.333	943.167	752.846	385.500	1255.786	469.455	
56	14:48:56	13244	1069.172	1311.500	631.286	676.767	900.944	696.643	747.522	730.917	484.750	832.000	1218.500	310.056	743.889	861.833	715.731	396.722	1132.000	467.500	
57	14:48:56	13382	1092.552	1306.167	610.929	597.533	906.611	782.286	759.826	711.917	492.417	838.800	1246.444	341.444	776.389	911.500	713.385	396.111	1214.857	482.273	
58	14:48:56	13522	1134.172	1257.208	650.357	683.800	924.944	727.357	723.522	737.458	479.208	832.800	1214.167	310.111	791.222	892.000	702.308	376.389	1264.143	514.364	
59	14:48:56	13660	1127.966	1381.333	627.714	618.567	952.222	763.929	769.217	753.167	510.292	839.200	1175.889	315.056	775.222	890.056	723.808	415.333	1203.000	507.000	
60	14:48:56	13798	1085.759	1414.375	582.286	667.533	848.444	777.286	707.196	754.042	470.583	819.500	1145.278	340.611	831.778	861.056	740.962	381.833	1224.286	490.364	
61	14:48:56	13936	1097.741	1329.625	597.429	602.800	892.056	755.857	722.652	739.083	501.250	771.900	1207.056	297.556	768.333	909.333	750.154	367.500	1196.643	494.045	
62	14:48:56	14075	1123.052	1379.125	605.571	640.133	927.333	767.571	714.348	776.583	496.833	781.900	1156.833	302.889	795.722	937.889	732.538	413.556	1246.214	464.000	
63	14:48:56	14213	1036.310	1334.375	641.571	621.333	881.667	716.357	724.239	756.250	489.000	765.000	1192.000	327.111	784.611	827.222	720.462	389.556	1199.357	528.500	
64	14:48:56	14351	1072.448	1406.542	574.500	653.067	892.833	759.571	719.065	723.458	534.083	834.700	1199.833	350.056	767.667	920.500	708.654	392.722	1228.643	484.636	
65	14:48:56	14489	1012.190	1433.375	596.429	617.667	891.722	687.357	724.413	776.125	537.542	857.000	1165.000	313.444	820.556	899.944	726.385	375.500	1210.286	494.182	
66	14:48:56	14627	1089.724	1446.750	605.286	567.433	899.222	730.786	683.217	781.833	480.000	829.500	1145.111	326.778	829.778	951.611	729.538	380.000	1204.429	472.273	
67	14:48:56	14766	1117.138	1324.083	619.714	628.867	880.111	727.500	705.348	743.000	512.042	881.400	1126.222	353.556	807.056	926.444	733.885	379.556	1220.071	473.045	
68	14:48:56	14904	1118.534	1440.375	659.786	589.300	903.944	784.429	739.348	761.875	461.417	803.300	1191.667	351.944	806.278	953.611	715.962	384.000	1276.571	496.318	
69	14:48:56	15042	1112.138	1330.292	647.214	628.900	890.722	757.643	704.239	754.333	495.833	832.800	1178.167	320.833	802.500	962.667	741.731	379.111	1215.857	507.864	
70	14:48:56	15180	1080.914	1353.000	618.786	562.200	884.500	758.000	682.130	733.917	477.875	839.500	1274.167	318.667	827.111	938.833	718.038	362.444	1185.929	514.455	
71	14:48:56	15319	1085.276	1359.042	636.429	626.867	801.778	725.643	684.891	712.208	491.458	781.500	1137.222	288.389	777.167	910.111	703.808	379.389	1206.714	483.636	
72	14:48:56	15457	1116.362	1365.542	692.214	605.333	902.611	753.071	677.370	683.208	478.250	809.100	1132.667	325.556	833.722	911.389	717.231	392.000	1144.429	447.409	
73	14:48:56	15595	1130.310	1430.417	694.714	596.667	873.389	741.643	667.804	752.292	453.917	756.600	1176.000	326.500	787.278	932.667	728.385	397.222	1201.143	473.545	
74	14:48:56	15733	1066.741	1446.167	645.929	598.567	860.944	704.214	634.717	774.167	477.458	836.000	1196.500	324.333	750.944	905.056	709.808	376.500	1240.143	420.545	
75	14:48:56	15872	1028.638	1304.042	611.214	651.700	862.222	670.857	654.087	773.458	478.875	777.900	1102.444	318.167	736.333	909.556	699.538	373.778	1165.643	450.955	
76	14:48:56	16010	1117.310	1328.625	650.571	572.733	930.667	738.643	658.109	716.708	462.083	757.500	1145.056	285.000	738.778	907.722	736.962	327.444	1209.643	481.227	
77	14:48:56	16148	1109.172	1404.792	615.143	609.467	892.222	686.429	687.196	725.792	524.292	729.000	1154.667	315.333	711.056	915.444	667.423	429.778	1176.929	489.182	
78	14:48:56	16286	1058.414	1391.833	588.071	538.800	842.722	700.286	676.500	686.375	486.167	652.000	1135.444	299.056	677.833	885.333	723.346	382.778	1113.857	437.591	
79	14:48:56	16425	1069.586	1400.458	627.071	529.033	842.444	680.357	638.000	740.833	491.667	732.500	1153.889	320.167	779.667	918.500	719.346	361.333	1176.929	459.591	
80	14:48:56	16563	1085.879	1367.958	611.786	568.000	857.667	763.286	672.043	740.042	506.542	719.700	1104.944	317.389	665.944	916.000	709.692	391.944	1149.643	446.591	
81	14:48:56	16701	1107.931	1344.042	634.143	570.700	848.611	710.286	657.304	759.625	478.708	744.400	1173.889	299.944	683.833	890.167	687.808	404.444	1179.143	447.818	
82	14:48:56	16839	1146.259	1355.000	633.000	599.000	939.278	724.643	664.500	701.958	488.125	680.800	1130.500	320.778	716.333	891.333	733.346	406.056	1166.500	441.227	
83	14:48:56	16977	1119.483	1343.250	628.857	591.500	885.778	694.643	651.457	729.500	527.708	760.300	1166.333	306.778	730.000	925.167	703.269	377.556	1240.357	446.591	
84	14:48:56	17116	1047.259	1325.083	601.000	585.500	856.056	658.000	652.848	676.625	468.167	783.100	1201.722	332.444	756.278	890.944	725.846	350.111	1124.857	479.773	
85	14:48:56	17254	1102.052	1321.625	601.857	536.600	838.056	692.571	662.065	668.375	469.542	759.700	1147.278	288.000	697.722	889.389	692.731	366.944	1065.286	466.227	
86	14:48:56	17392	1093.931	1301.833	622.214	535.033	870.056	679.214	677.000	704.375	443.792	737.600	1174.111	302.278	692.000	939.944	688.462	388.278	1151.500	497.182	
87	14:48:56	17530	1069.741	1363.750	591.857	584.400	865.667	759.929	694.804	657.125	502.042	733.400	1106.222	300.444	671.667	894.500	731.038	360.944	1015.357	454.273	
88	14:48:56	17669	1050.000	1301.208	615.071	544.200	847.722	665.000	676.609	676.167	471.958	677.500	1115.000	290.056	697.222	849.278	712.038	369.111	1040.714	447.545	
89	14:48:56	17807	1017.000	1327.458	580.786	552.033	832.611	684.429	685.565	668.417	467.917	729.600	1166.278	294.222	662.333	832.611	682.346	347.778	1136.143	462.591	
